Year,Country,State,Bacteria,Antibiotic,Resistance%,Resistant_Count,Number_of_Isolates,Specimen_Type,Age_Group,Percent_Male,Lab_Method,MDR_Flag
2023,India,Delhi,Pseudomonas aeruginosa,Oxacillin,44.0,67,152,Wound,60+,50,MIC (Automated),0
2021,Uk,Scotland,Pseudomonas aeruginosa,Meropenem,28.0,20,73,Blood,41-60,45,Disk Diffusion,0
2020,Usa,Florida,Pseudomonas aeruginosa,Ciprofloxacin,38.7,91,235,Sputum,60+,45,E-test,0
2022,Uk,Northern Ireland,Klebsiella pneumoniae,Ciprofloxacin,32.0,52,164,Sputum,0-10,50,Disk Diffusion,0
2021,Usa,Florida,Staphylococcus aureus,Ciprofloxacin,30.1,88,293,Urine,41-60,45,MIC (Automated),0
2015,Usa,California,E.coli,Oxacillin,23.4,52,223,Urine,41-60,45,E-test,0
2015,India,Kerala,Klebsiella pneumoniae,Amikacin,27.5,91,331,Urine,Nov-20,55,Broth Microdilution,0
2019,Usa,New York,Klebsiella pneumoniae,Oxacillin,31.1,90,289,Blood,60+,45,Broth Microdilution,0
2015,India,Maharashtra,Pseudomonas aeruginosa,Oxacillin,42.9,85,197,Wound,21-40,55,MIC (Automated),0
2021,India,Tamil Nadu,Klebsiella pneumoniae,Amikacin,39.1,106,271,Wound,60+,55,Broth Microdilution,0
2018,India,Kerala,Pseudomonas aeruginosa,Amikacin,38.3,100,261,Urine,60+,45,Broth Microdilution,0
2020,Usa,California,Pseudomonas aeruginosa,Meropenem,38.2,87,228,CSF,21-40,55,E-test,0
2024,Usa,Florida,Staphylococcus aureus,Oxacillin,40.5,59,145,CSF,41-60,55,E-test,0
2020,Usa,Florida,Pseudomonas aeruginosa,Amikacin,34.1,51,150,Wound,Nov-20,50,Disk Diffusion,0
2016,Uk,Scotland,Pseudomonas aeruginosa,Amikacin,22.4,23,103,Wound,60+,55,Disk Diffusion,0
2018,India,Tamil Nadu,Klebsiella pneumoniae,Ciprofloxacin,38.0,64,168,CSF,60+,55,MIC (Automated),0
2015,India,Tamil Nadu,Staphylococcus aureus,Meropenem,20.8,71,343,Sputum,0-10,45,MIC (Automated),0
2019,India,Maharashtra,Staphylococcus aureus,Oxacillin,27.1,65,239,Wound,0-10,45,Disk Diffusion,0
2019,Uk,England,Klebsiella pneumoniae,Meropenem,23.4,43,182,Sputum,60+,45,Broth Microdilution,0
2018,India,Delhi,E.coli,Oxacillin,28.9,59,204,Wound,Nov-20,45,MIC (Automated),0
2016,India,Tamil Nadu,Staphylococcus aureus,Meropenem,24.1,42,173,Sputum,21-40,50,MIC (Automated),0
2016,Usa,Florida,Pseudomonas aeruginosa,Amikacin,27.5,42,151,Wound,21-40,45,E-test,0
2016,Usa,New York,Staphylococcus aureus,Meropenem,20.9,19,91,Wound,21-40,55,E-test,0
2023,Uk,Scotland,Staphylococcus aureus,Amikacin,35.4,56,157,Sputum,21-40,45,E-test,0
2022,India,Tamil Nadu,Staphylococcus aureus,Meropenem,37.0,95,256,Sputum,21-40,45,MIC (Automated),0
2024,Uk,Wales,Staphylococcus aureus,Amikacin,30.2,54,180,Wound,0-10,50,E-test,0
2022,India,Kerala,E.coli,Amikacin,45.6,54,118,Blood,21-40,50,E-test,0
2015,Uk,Northern Ireland,Pseudomonas aeruginosa,Meropenem,22.7,49,218,Urine,60+,45,Disk Diffusion,0
2015,Usa,Texas,E.coli,Amikacin,20.4,51,248,CSF,41-60,55,MIC (Automated),0
2019,Uk,Scotland,Pseudomonas aeruginosa,Amikacin,30.5,77,254,Urine,21-40,50,Broth Microdilution,0
2020,Uk,England,Staphylococcus aureus,Amikacin,15.0,41,273,Blood,41-60,45,MIC (Automated),0
2024,Uk,Scotland,Klebsiella pneumoniae,Oxacillin,33.5,49,146,CSF,60+,55,Disk Diffusion,0
2017,Usa,Florida,Pseudomonas aeruginosa,Ciprofloxacin,26.1,72,276,Wound,41-60,55,Disk Diffusion,0
2023,Uk,Northern Ireland,Staphylococcus aureus,Ciprofloxacin,37.7,55,145,Wound,41-60,55,Disk Diffusion,0
2015,Usa,California,Klebsiella pneumoniae,Ciprofloxacin,30.4,67,220,Blood,21-40,50,Broth Microdilution,0
2017,India,Tamil Nadu,Klebsiella pneumoniae,Oxacillin,36.2,81,225,Urine,Nov-20,55,Broth Microdilution,0
2018,Usa,California,Klebsiella pneumoniae,Amikacin,23.7,32,135,CSF,0-10,45,MIC (Automated),0
2016,Usa,Florida,Staphylococcus aureus,Ciprofloxacin,21.1,24,113,Sputum,21-40,55,E-test,0
2015,Usa,Florida,E.coli,Ciprofloxacin,28.9,47,161,Urine,60+,45,MIC (Automated),0
2021,Usa,New York,E.coli,Meropenem,24.5,50,203,CSF,Nov-20,45,Broth Microdilution,0
2016,India,Kerala,E.coli,Ciprofloxacin,45.9,101,220,Wound,0-10,45,E-test,0
2021,Usa,New York,Klebsiella pneumoniae,Meropenem,29.7,38,128,Wound,60+,50,E-test,0
2021,India,Kerala,E.coli,Meropenem,31.1,9,30,Sputum,Nov-20,55,Broth Microdilution,0
2015,India,Kerala,Pseudomonas aeruginosa,Meropenem,28.3,53,188,Urine,21-40,55,MIC (Automated),0
2024,Uk,Wales,Pseudomonas aeruginosa,Oxacillin,41.2,95,231,Sputum,21-40,50,MIC (Automated),0
2024,Uk,Northern Ireland,Pseudomonas aeruginosa,Meropenem,40.3,86,213,Blood,0-10,45,Broth Microdilution,0
2022,Uk,Scotland,Staphylococcus aureus,Oxacillin,25.8,72,281,Wound,60+,45,MIC (Automated),0
2016,Uk,Wales,Staphylococcus aureus,Meropenem,16.6,55,329,Urine,60+,50,Disk Diffusion,0
2017,Usa,New York,Klebsiella pneumoniae,Meropenem,28.3,81,285,Sputum,0-10,45,Disk Diffusion,0
2019,Uk,England,Staphylococcus aureus,Oxacillin,31.9,71,224,Urine,Nov-20,50,E-test,0
2020,India,Delhi,Staphylococcus aureus,Ciprofloxacin,38.2,115,301,Wound,60+,55,Broth Microdilution,0
2016,Usa,California,E.coli,Amikacin,26.0,68,263,Urine,60+,45,MIC (Automated),0
2021,Usa,New York,Pseudomonas aeruginosa,Amikacin,31.8,79,247,CSF,Nov-20,45,Disk Diffusion,0
2024,India,Maharashtra,Pseudomonas aeruginosa,Meropenem,34.5,79,230,Sputum,21-40,50,Broth Microdilution,0
2021,India,Maharashtra,Klebsiella pneumoniae,Meropenem,50.5,113,223,Blood,Nov-20,45,Broth Microdilution,1
2019,Uk,Wales,E.coli,Oxacillin,27.8,79,284,Blood,Nov-20,50,MIC (Automated),0
2019,Usa,California,E.coli,Amikacin,26.0,57,221,CSF,21-40,45,Broth Microdilution,0
2016,Uk,Scotland,E.coli,Oxacillin,23.0,39,170,Urine,60+,55,E-test,0
2024,Uk,England,Staphylococcus aureus,Meropenem,32.1,65,204,Urine,21-40,45,Broth Microdilution,0
2020,Usa,Florida,Pseudomonas aeruginosa,Meropenem,19.4,13,65,Wound,0-10,50,MIC (Automated),0
2023,India,Tamil Nadu,Pseudomonas aeruginosa,Meropenem,42.0,160,382,Wound,60+,50,Disk Diffusion,0
2019,Usa,Texas,E.coli,Oxacillin,29.6,72,243,Blood,21-40,50,Broth Microdilution,0
2017,Uk,Scotland,Staphylococcus aureus,Amikacin,26.5,46,174,Wound,60+,55,E-test,0
2019,Usa,California,Pseudomonas aeruginosa,Ciprofloxacin,45.3,100,221,Wound,60+,50,Broth Microdilution,0
2017,Usa,California,Staphylococcus aureus,Oxacillin,26.4,26,99,Urine,0-10,45,Disk Diffusion,0
2022,Uk,Northern Ireland,Pseudomonas aeruginosa,Amikacin,33.7,27,80,Sputum,41-60,55,MIC (Automated),0
2016,Uk,Wales,Staphylococcus aureus,Amikacin,33.6,97,288,Urine,21-40,50,Disk Diffusion,0
2018,Usa,Florida,E.coli,Amikacin,19.8,28,139,Wound,Nov-20,45,E-test,0
2018,Uk,Wales,Staphylococcus aureus,Oxacillin,29.0,33,113,Wound,21-40,45,E-test,0
2019,Usa,New York,Pseudomonas aeruginosa,Oxacillin,36.7,106,290,Wound,0-10,55,Disk Diffusion,0
2023,Usa,Florida,Klebsiella pneumoniae,Amikacin,26.8,19,72,Sputum,0-10,55,Broth Microdilution,0
2021,India,Maharashtra,Pseudomonas aeruginosa,Ciprofloxacin,38.9,23,60,Wound,0-10,50,E-test,0
2018,Uk,Scotland,Staphylococcus aureus,Meropenem,31.6,45,141,Urine,41-60,50,Disk Diffusion,0
2024,Usa,California,E.coli,Oxacillin,35.3,102,289,Sputum,0-10,50,E-test,0
2021,Usa,California,Staphylococcus aureus,Amikacin,25.2,49,194,Wound,21-40,55,Disk Diffusion,0
2020,Uk,Scotland,Pseudomonas aeruginosa,Amikacin,34.0,79,233,Sputum,60+,55,Disk Diffusion,0
2019,Uk,Northern Ireland,Staphylococcus aureus,Meropenem,27.2,72,263,Wound,0-10,50,MIC (Automated),0
2021,Usa,New York,E.coli,Amikacin,30.4,19,63,Urine,41-60,45,Disk Diffusion,0
2016,Usa,Florida,Klebsiella pneumoniae,Meropenem,15.4,48,311,Urine,Nov-20,45,MIC (Automated),0
2024,Uk,Wales,Pseudomonas aeruginosa,Amikacin,31.2,47,151,CSF,Nov-20,45,Broth Microdilution,0
2016,Usa,New York,Staphylococcus aureus,Ciprofloxacin,19.4,63,326,Sputum,21-40,55,E-test,0
2023,India,Kerala,Staphylococcus aureus,Meropenem,43.3,28,64,Sputum,0-10,45,E-test,0
2016,Uk,Wales,Klebsiella pneumoniae,Ciprofloxacin,24.1,54,225,Blood,41-60,50,E-test,0
2021,Usa,California,Klebsiella pneumoniae,Meropenem,18.0,17,97,Wound,60+,45,E-test,0
2017,Usa,New York,E.coli,Meropenem,28.2,27,97,Blood,0-10,50,Disk Diffusion,0
2024,Uk,England,E.coli,Ciprofloxacin,32.4,42,130,Wound,Nov-20,45,MIC (Automated),0
2021,Uk,England,Staphylococcus aureus,Ciprofloxacin,29.9,31,103,Wound,60+,55,E-test,0
2018,Usa,Texas,Pseudomonas aeruginosa,Ciprofloxacin,31.5,69,220,CSF,Nov-20,45,MIC (Automated),0
2018,India,Kerala,E.coli,Amikacin,16.8,14,85,Urine,60+,55,Disk Diffusion,0
2023,Uk,Wales,Pseudomonas aeruginosa,Amikacin,23.4,66,280,Urine,Nov-20,50,MIC (Automated),0
2022,India,Maharashtra,Staphylococcus aureus,Oxacillin,41.4,26,63,CSF,60+,45,Disk Diffusion,0
2018,Uk,Northern Ireland,E.coli,Amikacin,19.5,55,284,Sputum,60+,55,MIC (Automated),0
2023,India,Delhi,E.coli,Oxacillin,40.6,89,219,Wound,0-10,45,MIC (Automated),0
2022,Uk,Northern Ireland,E.coli,Oxacillin,26.0,47,182,Blood,21-40,45,Broth Microdilution,0
2021,India,Maharashtra,Klebsiella pneumoniae,Oxacillin,46.8,124,266,Blood,Nov-20,55,E-test,0
2016,India,Kerala,Klebsiella pneumoniae,Oxacillin,42.5,85,199,Urine,0-10,55,MIC (Automated),0
2018,Uk,Northern Ireland,E.coli,Oxacillin,22.1,41,186,Urine,21-40,55,MIC (Automated),0
2019,Usa,Texas,E.coli,Meropenem,25.5,49,192,Sputum,0-10,55,Disk Diffusion,0
2023,India,Maharashtra,Klebsiella pneumoniae,Ciprofloxacin,51.3,110,214,Blood,21-40,55,Disk Diffusion,1
2015,Uk,England,Klebsiella pneumoniae,Amikacin,23.3,28,122,Wound,Nov-20,50,Disk Diffusion,0
2016,Uk,Scotland,Klebsiella pneumoniae,Meropenem,14.6,19,128,Urine,60+,55,Disk Diffusion,0
2023,India,Tamil Nadu,Klebsiella pneumoniae,Amikacin,36.0,49,137,Blood,21-40,55,Disk Diffusion,0
2020,Uk,Scotland,Staphylococcus aureus,Ciprofloxacin,37.6,83,220,Wound,Nov-20,50,Disk Diffusion,0
2023,Uk,Scotland,Klebsiella pneumoniae,Oxacillin,36.6,59,160,Blood,41-60,50,MIC (Automated),0
2018,India,Delhi,Klebsiella pneumoniae,Ciprofloxacin,34.7,59,170,CSF,41-60,50,E-test,0
2015,Usa,New York,Klebsiella pneumoniae,Amikacin,32.8,11,33,Blood,60+,50,MIC (Automated),0
2023,India,Kerala,Pseudomonas aeruginosa,Amikacin,36.9,58,158,Blood,Nov-20,50,Broth Microdilution,0
2020,Usa,New York,Staphylococcus aureus,Oxacillin,21.2,6,30,Sputum,Nov-20,50,Disk Diffusion,0
2017,Uk,Scotland,Staphylococcus aureus,Meropenem,25.8,25,97,Sputum,60+,50,Disk Diffusion,0
2022,Usa,Florida,Klebsiella pneumoniae,Amikacin,41.1,108,262,CSF,Nov-20,45,Broth Microdilution,0
2019,Usa,California,Pseudomonas aeruginosa,Amikacin,27.2,80,293,Urine,21-40,55,Disk Diffusion,0
2021,Usa,Texas,Pseudomonas aeruginosa,Amikacin,34.5,29,85,CSF,0-10,45,E-test,0
2018,Usa,Florida,Klebsiella pneumoniae,Amikacin,25.3,85,334,Blood,0-10,55,E-test,0
2023,India,Tamil Nadu,Staphylococcus aureus,Oxacillin,34.4,52,150,Sputum,21-40,45,Disk Diffusion,0
2018,Uk,Wales,Pseudomonas aeruginosa,Meropenem,35.6,31,88,CSF,21-40,50,MIC (Automated),0
2020,Usa,California,Klebsiella pneumoniae,Meropenem,32.1,28,87,Urine,60+,55,Broth Microdilution,0
2017,India,Kerala,Klebsiella pneumoniae,Ciprofloxacin,54.3,77,142,CSF,21-40,45,MIC (Automated),1
2018,India,Kerala,E.coli,Oxacillin,35.7,19,53,Urine,Nov-20,50,MIC (Automated),0
2016,India,Tamil Nadu,Staphylococcus aureus,Ciprofloxacin,26.9,34,126,Wound,21-40,45,Broth Microdilution,0
2019,Usa,Florida,Klebsiella pneumoniae,Ciprofloxacin,35.8,81,226,Blood,41-60,50,Disk Diffusion,0
2016,Usa,Texas,Pseudomonas aeruginosa,Amikacin,26.3,78,297,Blood,60+,55,Disk Diffusion,0
2015,India,Delhi,Klebsiella pneumoniae,Meropenem,23.9,43,182,Urine,0-10,45,Broth Microdilution,0
2019,Uk,Wales,E.coli,Meropenem,27.6,57,206,CSF,41-60,45,Broth Microdilution,0
2019,India,Tamil Nadu,Staphylococcus aureus,Ciprofloxacin,34.0,97,285,Urine,0-10,45,Disk Diffusion,0
2019,Uk,Wales,E.coli,Amikacin,28.2,89,317,CSF,60+,55,Disk Diffusion,0
2024,India,Delhi,E.coli,Ciprofloxacin,42.1,93,220,Sputum,41-60,55,MIC (Automated),0
2017,Uk,England,Klebsiella pneumoniae,Ciprofloxacin,31.0,53,170,Blood,41-60,45,Broth Microdilution,0
2020,Uk,Wales,Pseudomonas aeruginosa,Meropenem,33.8,88,261,Sputum,21-40,55,E-test,0
2020,Usa,Florida,Klebsiella pneumoniae,Meropenem,45.0,105,234,Sputum,0-10,55,Disk Diffusion,0
2018,Uk,Scotland,Staphylococcus aureus,Ciprofloxacin,35.3,88,250,Sputum,60+,45,Disk Diffusion,0
2017,Usa,Texas,E.coli,Ciprofloxacin,26.8,39,144,Urine,Nov-20,50,Disk Diffusion,0
2016,India,Delhi,Pseudomonas aeruginosa,Amikacin,30.3,84,277,Blood,21-40,45,Broth Microdilution,0
2015,India,Kerala,E.coli,Amikacin,34.3,102,298,Sputum,60+,55,MIC (Automated),0
2018,Uk,England,Pseudomonas aeruginosa,Meropenem,18.9,27,142,Blood,0-10,45,MIC (Automated),0
2022,India,Maharashtra,Pseudomonas aeruginosa,Ciprofloxacin,45.8,71,156,Sputum,21-40,50,Disk Diffusion,0
2021,Usa,Texas,E.coli,Oxacillin,30.3,50,165,Wound,41-60,55,MIC (Automated),0
2020,Uk,Northern Ireland,Pseudomonas aeruginosa,Meropenem,30.6,17,57,Urine,60+,45,Broth Microdilution,0
2021,Uk,England,Staphylococcus aureus,Amikacin,27.3,19,69,Blood,0-10,45,MIC (Automated),0
2021,Uk,Northern Ireland,Klebsiella pneumoniae,Meropenem,43.7,47,107,Urine,Nov-20,45,MIC (Automated),0
2015,Usa,California,E.coli,Amikacin,18.3,29,156,Wound,60+,45,Broth Microdilution,0
2017,Usa,New York,E.coli,Ciprofloxacin,28.4,37,131,Wound,Nov-20,55,Broth Microdilution,0
2022,Uk,Wales,E.coli,Oxacillin,45.3,51,113,Blood,0-10,55,Broth Microdilution,0
2021,Usa,Florida,Klebsiella pneumoniae,Oxacillin,39.2,64,164,Blood,Nov-20,55,E-test,0
2022,Usa,Texas,E.coli,Ciprofloxacin,36.3,68,186,CSF,60+,45,Broth Microdilution,0
2020,Usa,Texas,Klebsiella pneumoniae,Ciprofloxacin,37.8,85,225,Sputum,21-40,50,Disk Diffusion,0
2017,Uk,Northern Ireland,Pseudomonas aeruginosa,Oxacillin,27.3,68,250,Sputum,60+,50,MIC (Automated),0
2023,Uk,Scotland,Pseudomonas aeruginosa,Meropenem,19.8,42,211,Sputum,60+,50,E-test,0
2022,India,Delhi,E.coli,Ciprofloxacin,30.8,87,283,Blood,0-10,45,E-test,0
2017,Uk,Scotland,Klebsiella pneumoniae,Amikacin,25.9,75,291,Urine,Nov-20,55,Disk Diffusion,0
2015,Usa,New York,Klebsiella pneumoniae,Ciprofloxacin,25.2,60,238,Sputum,21-40,45,MIC (Automated),0
2022,Usa,New York,Klebsiella pneumoniae,Oxacillin,48.1,32,67,Blood,60+,50,E-test,0
2021,Uk,Northern Ireland,Pseudomonas aeruginosa,Ciprofloxacin,36.5,86,235,CSF,60+,50,MIC (Automated),0
2021,Usa,Texas,E.coli,Ciprofloxacin,31.6,11,34,Wound,0-10,45,Disk Diffusion,0
2022,India,Maharashtra,E.coli,Amikacin,24.9,82,330,Wound,41-60,55,E-test,0
2023,Usa,California,E.coli,Oxacillin,35.7,44,123,Wound,21-40,50,MIC (Automated),0
2024,Usa,Texas,Klebsiella pneumoniae,Oxacillin,39.2,65,165,CSF,41-60,55,Broth Microdilution,0
2021,India,Tamil Nadu,Staphylococcus aureus,Ciprofloxacin,39.2,94,241,CSF,41-60,45,MIC (Automated),0
2017,Uk,England,Klebsiella pneumoniae,Oxacillin,27.4,40,146,Urine,0-10,55,Broth Microdilution,0
2017,Uk,Northern Ireland,Klebsiella pneumoniae,Meropenem,24.1,44,184,Wound,60+,55,MIC (Automated),0
2022,India,Delhi,Pseudomonas aeruginosa,Amikacin,40.4,77,191,Urine,41-60,50,Broth Microdilution,0
2021,Uk,Wales,Pseudomonas aeruginosa,Oxacillin,31.6,44,139,Sputum,60+,55,MIC (Automated),0
2019,India,Tamil Nadu,Klebsiella pneumoniae,Amikacin,29.6,36,121,Urine,60+,45,MIC (Automated),0
2019,Uk,Scotland,E.coli,Ciprofloxacin,33.3,63,190,Urine,Nov-20,55,MIC (Automated),0
2018,Usa,California,E.coli,Ciprofloxacin,25.2,48,190,Blood,41-60,55,Broth Microdilution,0
2016,India,Maharashtra,Klebsiella pneumoniae,Meropenem,41.0,64,155,Sputum,0-10,45,Broth Microdilution,0
2018,India,Tamil Nadu,Staphylococcus aureus,Oxacillin,31.7,37,117,Urine,41-60,45,Broth Microdilution,0
2022,Uk,Northern Ireland,Staphylococcus aureus,Ciprofloxacin,37.0,72,194,Sputum,41-60,50,MIC (Automated),0
2024,Usa,Florida,Klebsiella pneumoniae,Amikacin,30.2,91,301,Blood,60+,55,MIC (Automated),0
2019,Usa,Texas,Staphylococcus aureus,Oxacillin,33.8,87,257,CSF,0-10,55,E-test,0
2019,India,Maharashtra,E.coli,Amikacin,18.9,54,285,CSF,0-10,50,MIC (Automated),0
2015,Usa,California,Staphylococcus aureus,Ciprofloxacin,31.3,77,247,Wound,60+,45,Broth Microdilution,0
2024,India,Kerala,Staphylococcus aureus,Meropenem,28.7,48,167,Sputum,Nov-20,45,MIC (Automated),0
2022,Uk,Northern Ireland,Klebsiella pneumoniae,Meropenem,34.4,61,176,Urine,21-40,50,MIC (Automated),0
2023,India,Tamil Nadu,E.coli,Amikacin,40.8,158,387,Blood,41-60,45,E-test,0
2018,India,Delhi,Staphylococcus aureus,Meropenem,33.1,103,310,Wound,60+,55,Disk Diffusion,0
2022,Uk,England,E.coli,Ciprofloxacin,35.2,74,209,Wound,41-60,45,Broth Microdilution,0
2020,India,Maharashtra,Pseudomonas aeruginosa,Ciprofloxacin,36.9,109,295,Sputum,41-60,45,Disk Diffusion,0
2019,Uk,Scotland,Staphylococcus aureus,Ciprofloxacin,31.6,93,295,Wound,Nov-20,55,E-test,0
2023,India,Delhi,Staphylococcus aureus,Meropenem,17.5,46,262,Blood,Nov-20,45,Disk Diffusion,0
2017,Uk,Scotland,E.coli,Amikacin,22.4,30,133,CSF,0-10,50,MIC (Automated),0
2024,Usa,Texas,Pseudomonas aeruginosa,Amikacin,33.6,82,243,Wound,0-10,45,MIC (Automated),0
2016,India,Tamil Nadu,E.coli,Oxacillin,28.5,26,90,CSF,41-60,55,Broth Microdilution,0
2016,Usa,Texas,Klebsiella pneumoniae,Meropenem,16.3,61,375,Wound,0-10,45,MIC (Automated),0
2024,Usa,Texas,Staphylococcus aureus,Meropenem,21.8,21,97,CSF,0-10,50,MIC (Automated),0
2019,India,Maharashtra,Klebsiella pneumoniae,Amikacin,37.6,105,279,Wound,Nov-20,50,Broth Microdilution,0
2022,Uk,Wales,E.coli,Ciprofloxacin,29.3,43,148,CSF,Nov-20,45,Disk Diffusion,0
2021,India,Delhi,E.coli,Ciprofloxacin,46.9,100,214,Wound,Nov-20,50,E-test,0
2015,India,Kerala,Staphylococcus aureus,Ciprofloxacin,23.5,31,131,Sputum,60+,45,E-test,0
2022,Uk,England,Klebsiella pneumoniae,Meropenem,27.8,25,89,Sputum,21-40,55,E-test,0
2022,Usa,New York,Klebsiella pneumoniae,Ciprofloxacin,41.9,165,394,CSF,41-60,50,Broth Microdilution,0
2024,Uk,Scotland,Klebsiella pneumoniae,Ciprofloxacin,38.2,68,179,Sputum,21-40,50,Broth Microdilution,0
2016,India,Delhi,E.coli,Meropenem,37.7,110,293,Urine,41-60,45,Broth Microdilution,0
2024,India,Kerala,Pseudomonas aeruginosa,Meropenem,51.6,119,230,Urine,21-40,50,E-test,1
2022,India,Tamil Nadu,Pseudomonas aeruginosa,Meropenem,31.9,85,267,Urine,60+,45,E-test,0
2015,India,Delhi,Klebsiella pneumoniae,Ciprofloxacin,41.2,99,240,Blood,41-60,50,Disk Diffusion,0
2018,India,Tamil Nadu,Staphylococcus aureus,Ciprofloxacin,33.4,43,129,Urine,Nov-20,55,E-test,0
2023,India,Tamil Nadu,Klebsiella pneumoniae,Ciprofloxacin,44.3,105,238,Sputum,Nov-20,55,Disk Diffusion,0
2023,India,Delhi,Pseudomonas aeruginosa,Meropenem,26.4,74,282,CSF,60+,50,E-test,0
2020,India,Tamil Nadu,Pseudomonas aeruginosa,Oxacillin,42.3,80,190,Blood,Nov-20,45,E-test,0
2021,Usa,California,Staphylococcus aureus,Oxacillin,33.5,69,205,Urine,60+,55,MIC (Automated),0
2023,Usa,Florida,Pseudomonas aeruginosa,Amikacin,35.4,95,269,Urine,Nov-20,55,E-test,0
2016,Uk,Northern Ireland,E.coli,Oxacillin,24.9,34,138,CSF,41-60,50,MIC (Automated),0
2022,Uk,Scotland,Klebsiella pneumoniae,Amikacin,39.7,48,122,Blood,41-60,55,Broth Microdilution,0
2016,Uk,Scotland,Pseudomonas aeruginosa,Oxacillin,25.9,9,34,Wound,Nov-20,55,MIC (Automated),0
2023,Uk,Scotland,Pseudomonas aeruginosa,Ciprofloxacin,44.4,33,75,CSF,60+,55,E-test,0
2015,India,Kerala,E.coli,Meropenem,29.0,12,41,Urine,Nov-20,55,Disk Diffusion,0
2024,India,Maharashtra,E.coli,Amikacin,40.4,80,199,Blood,Nov-20,45,Broth Microdilution,0
2022,Usa,New York,E.coli,Meropenem,25.5,62,243,Sputum,Nov-20,55,MIC (Automated),0
2015,Usa,Texas,Pseudomonas aeruginosa,Meropenem,30.8,79,256,Sputum,0-10,55,Broth Microdilution,0
2015,Usa,Texas,Staphylococcus aureus,Meropenem,18.1,28,153,Blood,Nov-20,45,MIC (Automated),0
2024,Usa,New York,Klebsiella pneumoniae,Ciprofloxacin,37.6,53,141,Sputum,0-10,55,E-test,0
2023,Uk,Scotland,Staphylococcus aureus,Oxacillin,30.5,40,132,CSF,0-10,45,Disk Diffusion,0
2023,India,Kerala,Klebsiella pneumoniae,Ciprofloxacin,44.4,91,204,Wound,60+,55,Disk Diffusion,0
2021,India,Delhi,E.coli,Meropenem,34.1,73,214,CSF,41-60,55,E-test,0
2016,Uk,England,Klebsiella pneumoniae,Amikacin,14.4,16,108,Wound,21-40,55,MIC (Automated),0
2015,Uk,Northern Ireland,Pseudomonas aeruginosa,Ciprofloxacin,24.5,54,219,Wound,60+,50,Disk Diffusion,0
2017,Usa,Florida,Klebsiella pneumoniae,Oxacillin,39.0,75,193,Blood,60+,45,Disk Diffusion,0
2017,Uk,Northern Ireland,Pseudomonas aeruginosa,Amikacin,25.2,64,252,Urine,21-40,50,MIC (Automated),0
2015,Uk,Wales,Klebsiella pneumoniae,Amikacin,23.1,32,139,Sputum,41-60,55,MIC (Automated),0
2016,India,Kerala,Pseudomonas aeruginosa,Ciprofloxacin,47.2,56,118,Urine,60+,55,MIC (Automated),0
2021,Uk,England,Pseudomonas aeruginosa,Oxacillin,29.0,67,231,Urine,41-60,45,E-test,0
2018,India,Maharashtra,Staphylococcus aureus,Ciprofloxacin,29.4,34,115,Sputum,0-10,50,Disk Diffusion,0
2023,Usa,Texas,E.coli,Amikacin,31.0,9,30,Wound,41-60,45,Broth Microdilution,0
2018,Uk,Northern Ireland,Klebsiella pneumoniae,Oxacillin,28.5,31,108,Sputum,Nov-20,45,MIC (Automated),0
2023,Uk,England,Pseudomonas aeruginosa,Amikacin,25.4,34,134,Blood,Nov-20,45,MIC (Automated),0
2017,India,Maharashtra,Pseudomonas aeruginosa,Oxacillin,37.9,91,240,Urine,41-60,55,Disk Diffusion,0
2020,India,Delhi,Staphylococcus aureus,Oxacillin,23.8,23,96,Sputum,41-60,55,Broth Microdilution,0
2016,Uk,Northern Ireland,Klebsiella pneumoniae,Meropenem,22.3,68,304,Wound,Nov-20,50,Disk Diffusion,0
2017,Uk,Northern Ireland,Pseudomonas aeruginosa,Ciprofloxacin,32.0,80,249,Urine,60+,45,Broth Microdilution,0
2023,India,Maharashtra,Pseudomonas aeruginosa,Meropenem,30.4,76,249,Urine,41-60,55,Broth Microdilution,0
2015,India,Delhi,Staphylococcus aureus,Oxacillin,26.3,60,230,Wound,41-60,50,Broth Microdilution,0
2015,Usa,California,E.coli,Meropenem,25.3,87,345,Blood,60+,45,Broth Microdilution,0
2015,India,Delhi,Klebsiella pneumoniae,Amikacin,34.0,88,260,Blood,0-10,50,MIC (Automated),0
2021,India,Kerala,Staphylococcus aureus,Ciprofloxacin,28.4,43,152,CSF,41-60,55,MIC (Automated),0
2017,Uk,Wales,Klebsiella pneumoniae,Oxacillin,36.4,70,193,Urine,0-10,55,E-test,0
2016,India,Maharashtra,E.coli,Meropenem,19.8,46,230,CSF,41-60,55,Broth Microdilution,0
2020,Uk,Wales,Staphylococcus aureus,Oxacillin,32.7,47,144,Blood,60+,55,Broth Microdilution,0
2016,India,Kerala,Pseudomonas aeruginosa,Meropenem,34.1,70,205,Sputum,21-40,55,E-test,0
2020,Usa,California,Pseudomonas aeruginosa,Ciprofloxacin,33.5,75,225,Blood,21-40,45,Broth Microdilution,0
2019,Usa,Florida,E.coli,Meropenem,38.4,13,33,Urine,41-60,50,Disk Diffusion,0
2022,Uk,Wales,E.coli,Amikacin,25.4,31,121,Wound,0-10,55,Broth Microdilution,0
2022,Uk,Northern Ireland,E.coli,Ciprofloxacin,36.0,105,292,Blood,21-40,50,E-test,0
